mensaje,tipo
Compra ahora y recibe un descuento especial,legítimo
Haz clic aqui para ganar un premio,spam
Tu ordenador tiene un virus,spam
Descubre como perder peso rapidamente,spam
Necesitas ayuda con tu tarea,legítimo
Gana dinero desde casa sin esfuerzo,spam
Reclama tu herencia de un pariente lejano,spam
Mejora tu rendimiento sexual con este producto,spam
Por favor responde a esta encuesta,legítimo
Invierte en esta oportunidad unica y hazte rico,spam
Comparte este mensaje con tus amigos,legítimo
Obten un prestamo facilmente sin verificacion de credito,spam
Felicidades has ganado un telefono nuevo,spam
Necesitamos verificar tu cuenta bancaria,spam
Aprende ingles en solo 10 dias,spam
Gracias por tu compra,legítimo
Trabaja desde casa y gana mucho dinero,spam
Este es un mensaje importante de tu banco,spam
Aumenta tu tamano con estas pastillas milagrosas,spam
Hola soy tu vecino y necesito un favor,legítimo
Has sido seleccionado para una oferta exclusiva,spam
Descarga este software gratis ahora,spam
Conoce solteras calientes en tu area,spam
Por favor confirma tu suscripcion,legítimo
Obten un descuento del 50% en tu proximo viaje,spam
Tu paquete esta listo para ser recogido,spam
Unete a nuestro club de descuentos,legítimo
Haz clic para ver fotos de personas desnudas,spam
Necesitamos actualizar tu informacion personal,spam
Compra medicamentos sin receta medica,spam
Hola soy tu amigo de la infancia,legítimo
Gana una gift card de 100 dolares,spam
Este producto te hara sentir mas joven,spam
Por favor dona a esta causa importante,legítimo
Has ganado un viaje todo incluido,spam
Descarga este tono de llamada gratis,spam
Haz clic para ver el video mas divertido,spam
Necesitas este seguro de vida ahora mismo,spam
Por favor ayudame a encontrar a mi mascota perdida,legítimo
Obten acceso a peliculas gratis en linea,spam
Haz esta prueba de coeficiente intelectual y sorprendete,spam
Gracias por tu interes en nuestros servicios,legítimo
Multiplica tus ingresos con este programa de afiliacion,spam
Te extrano y quiero verte,legítimo
Obten tu reporte de credito gratis,spam
Este producto milagroso te quitara las arrugas,spam
Por favor completa esta oferta para continuar,spam
Haz clic para descargar musica gratis,spam
Aprende a invertir en criptomonedas ahora,spam
Estoy en problemas por favor enviame dinero,legítimo
Actualiza tu informacion de contacto,legítimo
Gana dinero extra desde casa,spam
Tu cuenta ha sido bloqueada temporalmente,spam
Necesito tu ayuda urgentemente,legítimo
Recibe un bono de bienvenida al registrarte,spam
Este es un recordatorio de tu cita medica,legítimo
Pierde peso sin esfuerzo con este suplemento,spam
Haz clic para reclamar tu premio,spam
Gracias por ser un cliente valioso,legítimo
Invierte en bitcoin y hazte millonario,spam
Tu pedido ha sido enviado,legítimo
Obten un prestamo en linea instantaneamente,spam
Hola soy un principe nigeriano y necesito tu ayuda,spam
Felicidades has sido seleccionado para una encuesta remunerada,spam
Lamento informarte que tu solicitud ha sido rechazada,legítimo
Aumenta tu energia y libido con estas pastillas naturales,spam
Tu suscripcion expirara pronto,legítimo
Gana un iPhone gratis participando en este sorteo,spam
Necesitamos verificar tu informacion de pago,spam
Gracias por ponerte en contacto con nuestro equipo de soporte,legítimo
Haz clic para ver las fotos privadas de esta persona,spam
Tu cuenta tiene un saldo pendiente,spam
Este es un aviso importante de tu proveedor de servicios,legítimo
Obten acceso ilimitado a contenido exclusivo,spam
Te esperamos en nuestra proxima reunion,legítimo
Haz una fortuna con este metodo secreto,spam
Has ganado una gift card de Amazon,spam
Confirma tu asistencia al evento,legítimo
Descubre los secretos para un cabello hermoso y brillante,spam
Necesitamos que verifiques tu identidad,spam
Recomienda nuestro producto y gana comisiones,spam
Este es un mensaje de tu banco,legítimo
Obten descuentos exclusivos en nuestro sitio web,spam
Ha habido un intento de inicio de sesion sospechoso en tu cuenta,spam
Te invitamos a participar en nuestra encuesta de satisfaccion,legítimo
Este producto revolucionario te quitara las manchas de la piel,spam
Haz clic aqui para descargar el archivo adjunto,spam
Feliz cumpleaños de parte de todo nuestro equipo,legítimo
Unete a nuestro programa de afiliados y gana dinero extra,spam
Este es un recordatorio de tu pago pendiente,legítimo
Descubre como conquistar a la persona de tus sueños,spam
Hola quiero presentarte una increible oportunidad de negocio,spam
Gracias por tu donacion a nuestra causa,legítimo
Obten acceso anticipado a nuestras rebajas,spam
Tu reserva ha sido confirmada,legítimo
Gana musculos rapidamente con este suplemento,spam
Por favor actualiza tus preferencias de comunicacion,legítimo
Aprovecha esta oferta por tiempo limitado,spam
Este es un mensaje automatico de nuestro sistema,legítimo
Has ganado un vale de compra en nuestra tienda,spam
Tu cita ha sido reprogramada,legítimo
Haz clic aqui para recibir tu recompensa,spam
Este es un aviso de tu factura vencida,spam
Necesito que me hagas un favor,legítimo
Participa en nuestro concurso y gana premios increibles,spam
Tu pedido ha sido cancelado,legítimo
Obten un seguro de vida a un precio inigualable,spam
Hola soy un viejo amigo y quiero reconnectar contigo,spam
Gracias por tu paciencia mientras resolvemos tu problema,legítimo
Invierte en esta criptomoneda emergente y multiplica tu dinero,spam
Tu cuenta ha sido actualizada exitosamente,legítimo
Obten una muestra gratis de nuestro producto,spam
Este software optimizara el rendimiento de tu ordenador,spam
Felicidades has calificado para recibir un descuento especial,spam
Lamentamos informarte que el producto esta agotado,legítimo
Aumenta tu busto naturalmente con esta crema,spam
Tu membresia expirara en unos dias,legítimo
Gana un viaje todo pagado participando en nuestro sorteo,spam
Necesitamos que confirmes tu direccion de envio,spam
Gracias por escribirnos te responderemos a la brevedad,legítimo
Haz clic para ver este increible video,spam
Tu cuenta tiene un cargo no reconocido,spam
Este es un recordatorio de tu proxima cita,legítimo
Obten acceso a contenido exclusivo suscribiendote ahora,spam
Te esperamos en la reunion de manana,legítimo
Haz dinero facil desde la comodidad de tu hogar,spam
Has ganado una tableta nueva,spam
Confirma tu asistencia a la boda,legítimo
Descubre el secreto para unas pestanas largas y gruesas,spam
Necesitamos que verifiques tu cuenta,spam
Unete a nuestro programa de referidos y gana comisiones,spam
Este es un aviso de tu banco,legítimo
Obten envio gratis en tu primera compra,spam
Hemos detectado actividad sospechosa en tu cuenta,spam
Te invitamos a probar nuestro nuevo producto,legítimo
Este suplemento te hara perder peso mientras duermes,spam
Haz clic aqui para descargar tu factura,spam
Feliz aniversario que tengas un dia maravilloso,legítimo
Conviertete en un afiliado y gana dinero promocionando nuestros productos,spam
Este es un recordatorio de tu cita de manana,legítimo
Descubre como seducir a cualquier persona,spam
Hola tengo una propuesta de negocio que podria interesarte,spam
Gracias por tu apoyo a nuestra organizacion,legítimo
Obten acceso temprano a nuestras ofertas especiales,spam
Tu reservacion ha sido exitosa,legítimo
Desarrolla el cuerpo de tus suenos con este entrenamiento,spam
Por favor completa tu perfil para una mejor experiencia,legítimo
Ultimo dia para aprovechar este descuento,spam
Este mensaje es para informarte sobre cambios en nuestras politicas,legítimo
Has sido seleccionado para recibir un obsequio especial,spam
Tus resultados medicos estan listos,legítimo
Haz clic para descargar este increible juego,spam
Tu orden ha sido procesada exitosamente,legítimo
Obten un descuento especial en tu proximo corte de cabello,spam
Te recordamos que tienes un pago pendiente,spam
Hola me gustaria invitarte a salir,legítimo
Participa en nuestra rifa y gana fabulosos premios,spam
Tu paquete esta en camino,legítimo
Pierde peso rapido con esta dieta milagrosa,spam
Estamos trabajando para resolver la incidencia lo antes posible,legítimo
Haz clic aqui para ver increibles fotos de gatitos,spam
Gracias por registrarte en nuestro sitio web,legítimo
Obten tu reporte de credito gratis ahora,spam
Necesito tu colaboracion en un proyecto importante,legítimo
Gana dinero viendo anuncios en tu telefono,spam
Hemos recibido tu solicitud y la estamos procesando,legítimo
Mejora tu vida sexual con este suplemento natural,spam
Hola solo queria saber como has estado,legítimo
Invierte en bienes raices y asegura tu futuro financiero,spam
Confirma tu suscripcion haciendo clic aqui,spam
Gracias por contactar a nuestro servicio al cliente,legítimo
Unete a nuestro club de lectores y recibe libros gratis,spam
Tu factura esta lista para ser descargada,legítimo
Obten los mejores consejos para una piel radiante,spam
Necesitamos verificar tu informacion fiscal,spam
Gana comisiones promocionando nuestros servicios,spam
Hola soy Maria tu nueva vecina,legítimo
Aprovecha nuestras ofertas de fin de temporada,spam
Este es un recordatorio de tu reserva,legítimo
Elimina las arrugas con este tratamiento revolucionario,spam
Realiza tu pago antes de la fecha limite,legítimo
Haz clic para descargar este fondo de pantalla gratis,spam
Felicidades por tu logro te lo mereces,legítimo
Conviertete en un experto en redes sociales con nuestro curso,spam
Lamentamos el inconveniente causado por el retraso en tu vuelo,legítimo
Baja de peso sin hacer dieta ni ejercicio,spam
Hola quiero compartir contigo esta oportunidad unica,spam
Gracias por tu fidelidad aqui tienes un cupon de descuento,legítimo
Accede a contenido premium suscribiendote a nuestro newsletter,spam
Tu cita de manana ha sido confirmada,legítimo
Desarrolla habilidades de liderazgo con este seminario,spam
Por favor responde esta breve encuesta sobre tu experiencia,legítimo
Esta es tu ultima oportunidad para adquirir este producto,spam
Hemos actualizado nuestros terminos y condiciones,legítimo
Has sido preseleccionado para recibir un premio en efectivo,spam
Recuerda que tienes una tarea pendiente,legítimo
Haz clic aqui para conocer personas interesantes cerca de ti,spam
Gracias por preferirnos tu opinion es muy importante para nosotros,legítimo
No pierdas esta increible oferta suscribete ahora,spam
Esperamos que disfrutes de tu estancia en nuestro hotel,legítimo
Tu pedido ha sido entregado exitosamente,legítimo
Gana dinero extra trabajando desde casa,spam
Este es un recordatorio de tu próxima cita médica,legítimo
Descubre el secreto para un abdomen plano,spam
Gracias por tu pago tu cuenta está al día,legítimo
Haz clic aquí para reclamar tu cupón de descuento,spam
Necesito que me envíes la información solicitada,legítimo
Obtén acceso exclusivo a nuestras rebajas privadas,spam
Tu reserva de vuelo ha sido confirmada,legítimo
Aumenta tu energía con este suplemento natural,spam
Hemos recibido tu consulta y te responderemos a la brevedad,legítimo
Invierte en acciones y multiplica tu capital,spam
Hola ¿te gustaría tomar un café conmigo?,legítimo
Aprovecha nuestro financiamiento sin intereses,spam
Por favor confirma tu asistencia al seminario,legítimo
Haz clic para ver increíbles trucos de maquillaje,spam
Tu suscripción ha sido renovada automáticamente,legítimo
Gana un carro nuevo participando en nuestro concurso,spam
Necesitamos verificar tus datos de contacto,spam
Gracias por tu interés un asesor se comunicará contigo pronto,legítimo
Descarga esta aplicación y obtén un descuento,spam
Tu estado de cuenta está listo para ser revisado,legítimo
Mejora tu rendimiento deportivo con nuestro programa de entrenamiento,spam
Por favor actualiza tus preferencias de notificaciones,legítimo
Haz una donación y ayuda a cambiar vidas,legítimo
Haz clic para ver las fotos de la fiesta,spam
Felicitaciones por tu aniversario laboral,legítimo
Obtén tu seguro de gastos médicos hoy mismo,spam
Hola soy tu asesor financiero personal,spam
Gracias por registrarte disfruta de todos nuestros beneficios,legítimo
No te pierdas nuestras ofertas de último minuto,spam
Tu paquete está listo para ser recogido,legítimo
Descubre cómo aprender un idioma en tiempo récord,spam
Por favor completa la encuesta de satisfacción,legítimo
Haz clic para descargar este ebook gratis,spam
Lamentamos informarte que tu crédito no ha sido aprobado,legítimo
Gana dinero compartiendo tus opiniones,spam
Hola estoy interesado en tus servicios,legítimo
Obtén un seguro de vida sin exámenes médicos,spam
Confirma tu suscripción a nuestra lista de correos,spam
Gracias por tu visita esperamos verte pronto,legítimo
Haz clic para ver este increíble video de comedia,spam
Tu recibo de pago está disponible para descargar,legítimo
Desarrolla una memoria extraordinaria con este curso,spam
Por favor verifica tu dirección de envío,legítimo
Última chance para comprar con descuento,spam
Este mensaje es para informarte sobre nuestra nueva política,legítimo
Has ganado una gift card para tu tienda favorita,spam
Recuerda que tienes un evento importante mañana,legítimo
Conoce solteros y solteras en tu ciudad,spam
Agradecemos tu preferencia sigue disfrutando de nuestros productos,legítimo
Suscríbete a nuestro canal y no te pierdas ningún video,spam
Tu orden ha sido actualizada,legítimo
Gana dinero extra con este trabajo de medio tiempo,spam
Este es un recordatorio amistoso de tu cita dental,legítimo
Pierde peso durmiendo con esta pastilla milagrosa,spam
Gracias por tu compra tu pedido está siendo procesado,legítimo
Haz clic para obtener tu reporte crediticio gratis,spam
Necesito que revises y firmes el contrato adjunto,legítimo
Accede a descuentos exclusivos en nuestro sitio web,spam
Tu paquete está en camino y llegará pronto,legítimo
Mejora tu rendimiento sexual con este producto natural,spam
Hemos recibido tu reclamo y estamos trabajando en ello,legítimo
Invierte en oro y protege tu patrimonio,spam
Hola ¿te gustaría cenar conmigo este fin de semana?,legítimo
Aprovecha nuestras tasas de interés preferenciales,spam
Por favor confirma tu asistencia a la reunión de mañana,legítimo
Descubre los secretos para un cabello hermoso,spam
Tu membresía ha sido activada exitosamente,legítimo
Gana un viaje todo incluido participando en nuestro sorteo,spam
Necesitamos verificar tu identidad para procesar tu solicitud,spam
Gracias por contactarnos valoramos tus comentarios,legítimo
Instala esta aplicación y obtén recompensas,spam
Tu factura del mes está lista para ser pagada,legítimo
Transforma tu cuerpo con nuestro programa de 90 días,spam
Por favor actualiza tu información de pago,legítimo
Ayúdanos a construir un mundo mejor con tu aporte,legítimo
Mira estas divertidas fotos de animales,spam
Feliz cumpleaños que todos tus deseos se hagan realidad,legítimo
Adquiere tu seguro de hogar con nosotros,spam
Hola soy tu nuevo entrenador personal,spam
Bienvenido a bordo estamos encantados de tenerte con nosotros,legítimo
Últimas horas para aprovechar nuestras promociones,spam
Tu reserva ha sido procesada exitosamente,legítimo
Aprende a tocar guitarra en solo 4 semanas,spam
Por favor ayúdanos a mejorar contestando esta breve encuesta,legítimo
Haz clic para descargar este increíble fondo de pantalla,spam
Lamentamos informarte que tu postulación no ha sido seleccionada,legítimo
Gana recompensas por tus compras diarias,spam
Hola me gustaría cotizar tus servicios,legítimo
Obtén la cobertura médica que necesitas,spam
Confirma tu dirección de correo para recibir novedades,spam
Gracias por elegirnos estamos para servirte,legítimo
No te pierdas este gracioso video de gatos,spam
Tu comprobante de pago está adjunto a este mensaje,legítimo
Potencia tu cerebro con nuestro entrenamiento cognitivo,spam
Por favor revisa y actualiza tus datos personales,legítimo
Esta es tu última oportunidad para ahorrar,spam
Importante: cambios en nuestros términos y condiciones,legítimo
Felicitaciones has sido seleccionado para una beca,spam
Recuerda que tienes una reunión importante el lunes,legítimo
Encuentra tu pareja ideal con nuestra app,spam
Valoramos tu lealtad aquí tienes un regalo especial,legítimo
Suscríbete a nuestro boletín informativo semanal,spam
Tu reclamo ha sido resuelto favorablemente,legítimo
Gana músculo rápidamente con este suplemento,spam
Este es un recordatorio de tu cita de peluquería,legítimo
Descubre cómo ganar dinero desde tu casa,spam
Gracias por tu pago tu suscripción ha sido renovada,legítimo
Haz clic para obtener tu código de descuento,spam
Necesito que me envíes el reporte lo antes posible,legítimo
Disfruta de envío gratis en tu próxima compra,spam
Tu paquete ha sido entregado exitosamente,legítimo
Aumenta tu libido con este revolucionario producto,spam
Hemos recibido tu solicitud y la estamos revisando,legítimo
Invierte en bienes raíces y genera rentas pasivas,spam
Hola ¿te gustaría unirte a nuestro club de lectura?,legítimo
Aprovecha nuestra tasa de cambio preferencial,spam
Por favor confirma tu asistencia al webinar de mañana,legítimo
Luce una piel radiante con nuestros consejos,spam
Tu cuenta ha sido verificada exitosamente,legítimo
Gana una consola de videojuegos en nuestro concurso,spam
Necesitamos verificar tu dirección para enviar tu pedido,spam
Gracias por tus comentarios siempre buscamos mejorar,legítimo
Prueba este increíble juego para móviles,spam
Tu estado de cuenta está disponible en línea,legítimo
Pierde peso saludablemente con nuestra asesoría nutricional,spam
Por favor actualiza tus preferencias de comunicación,legítimo
Juntos podemos lograr un cambio positivo,legítimo
Mira estas adorables fotos de cachorros,spam
Feliz aniversario de bodas que sigan cumpliendo muchos más,legítimo
Protege a tu familia con nuestro seguro de vida,spam
Hola soy tu asesor de imagen personal,spam
Bienvenido a nuestro programa de recompensas,legítimo
Últimos días de rebajas ¡no te los pierdas!,spam
Tu pedido está siendo preparado para envío,legítimo
Aprende un nuevo idioma de forma divertida,spam
Por favor cuéntanos sobre tu experiencia con nuestro servicio,legítimo
Descarga nuestra aplicación y obtén un descuento especial,spam
Lamentamos los inconvenientes causados por el retraso,legítimo
Gana premios por tus compras frecuentes,spam
Hola ¿podríamos agendar una llamada?,legítimo
Asegura tu auto con la mejor cobertura del mercado,spam
Verifica tu suscripción haciendo clic en el enlace,spam
Mil gracias por preferirnos estamos comprometidos con tu satisfacción,legítimo
No te pierdas estos divertidos memes,spam
Tu comprobante fiscal está listo para ser descargado,legítimo
Entrena tu mente con nuestros juegos de ingenio,spam
Por favor confirma tu número de teléfono,legítimo
Esta oferta expira a la medianoche ¡aprovéchala ya!,spam
Actualización importante de nuestras políticas de privacidad,legítimo
Felicitaciones fuiste seleccionado para una entrevista,legítimo
Recuerda que tienes una cita médica este jueves,legítimo
Encuentra el amor de tu vida con nuestra aplicación,spam
Apreciamos tu fidelidad disfruta de este obsequio,legítimo
Mantente informado con nuestras noticias diarias,spam
Tu solicitud ha sido aprobada satisfactoriamente,legítimo
Desarrolla un cuerpo escultural con nuestras rutinas,spam
Este es un recordatorio de tu reserva en nuestro restaurante,legítimo
Trabaja desde casa y genera ingresos extra,spam
Gracias por tu compra esperamos que disfrutes tu producto,legítimo
Usa este código promocional en tu próxima visita,spam
Necesito que revises el documento adjunto y me des tus comentarios,legítimo
Obtén envío express gratis en compras mayores a $100,spam
Tu equipaje está en camino a tu domicilio,legítimo
Incrementa tu resistencia con nuestro suplemento deportivo,spam
Hemos recibido tu curriculum y te contactaremos si hay una vacante,legítimo
Invierte en criptomonedas y multiplica tus ganancias,spam
Hola ¿te gustaría ser parte de nuestro equipo?,legítimo
Aprovecha nuestro crédito con meses sin intereses,spam
